TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME
DataWarehouse,bronze,erp_loc_a101,BASE TABLE,DataWarehouse,silver,erp_loc_a101,dwh_create_date,3,(getdate()),YES,datetime2,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,erp_cust_az12,BASE TABLE,DataWarehouse,silver,erp_cust_az12,cid,1,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,erp_cust_az12,BASE TABLE,DataWarehouse,silver,erp_cust_az12,bdate,2,NULL,YES,date,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,erp_cust_az12,BASE TABLE,DataWarehouse,silver,erp_cust_az12,gen,3,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,erp_cust_az12,BASE TABLE,DataWarehouse,silver,erp_cust_az12,dwh_create_date,4,(getdate()),YES,datetime2,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DataWarehouse,bronze,erp_px_cat_g1v2,BASE TABLE,DataWarehouse,silver,erp_px_cat_g1v2,id,1,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,erp_px_cat_g1v2,BASE TABLE,DataWarehouse,silver,erp_px_cat_g1v2,cat,2,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,erp_px_cat_g1v2,BASE TABLE,DataWarehouse,silver,erp_px_cat_g1v2,subcat,3,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,erp_px_cat_g1v2,BASE TABLE,DataWarehouse,silver,erp_px_cat_g1v2,maintenance,4,NULL,YES,nvarchar,50,100,NULL,NULL,NULL,NULL,NULL,NULL,UNICODE,NULL,NULL,SQL_Latin1_General_CP1_CI_AS,NULL,NULL,NULL
DataWarehouse,bronze,erp_px_cat_g1v2,BASE TABLE,DataWarehouse,silver,erp_px_cat_g1v2,dwh_create_date,5,(getdate()),YES,datetime2,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
